,clay_oc,clay_oc,RGB_oc,RGB-clay_oc
I-0-0,0.5430385221932617,0.04083414981658273,0.5349830196357325,0.5262684163729134
I-0-1,0.5423333492977871,0.04382395778547021,0.5349818201801704,0.5243969067345282
I-0-2,0.5427871723758351,0.044470306528979986,0.5346691084270843,0.5260831239418313
I-0-3,0.5427974038740145,0.04635534938290797,0.5345204495979534,0.5251666378274089
I-0-4,0.5425973298083482,0.04089102948397638,0.5333548922596396,0.5255625111943956
I-0-5,0.5417377204612992,0.043644787181360556,0.5339419494578919,0.5248041011397071
I-0-6,0.5424829646034179,0.04494975267548296,0.5328004795091424,0.5271150482350648
I-0-7,0.5427284794632101,0.041192849432340695,0.5342227298667187,0.5256655984070747
I-0-8,0.5430318132449283,0.04527826691808823,0.5342432865741383,0.5260665878439235
I-0-9,0.5429939653082603,0.042441565779968826,0.5346286190062405,0.5265853285771487
