,oc_phc,oc_phh,oc_ec,oc_caco3,oc_p,oc_n,oc_k,oc_stones
I-0-0,0.1520053856715244,0.1489686912087621,0.2393671907448537,0.021102082579406,0.0346048178266306,0.842212020067237,-0.0121818098672557,0.017036048612280696
I-0-1,0.1715618714731951,0.1686102676910948,0.2024037262274384,0.0219150051054773,0.0350117381108004,0.8547057568677018,-0.0292234547515868,0.007514948064241911
I-0-2,0.1751245048660834,0.1754625077666679,0.1709613213265831,0.0228830568602182,0.0684828336561884,0.8668931555753369,0.0121365125469932,0.013374618269266558
I-0-3,0.1746058012923683,0.1704515605737033,0.1695972855717901,0.0187374275614856,0.0628819772078289,0.8567933446579696,0.0047898356246772,0.001456742606290029
I-0-4,0.156760855999365,0.1575111608099277,0.1972711215498555,0.0234681496081849,0.0539425476116773,0.8786035919874178,-0.0041218988231161,0.0026205436289835626
I-0-5,0.1624676574033479,0.1653674029033534,0.102462916527041,0.0194362944407868,0.0525282310186167,0.8585329968537274,0.0017369418770281086,7.002372397579837e-05
I-0-6,0.1625235291068407,0.1602276127863258,0.2203995767604448,0.0247065253497559,0.0048168145806101,0.8799459415225683,-0.01740820472057414,0.012597941341802033
I-0-7,0.1858693759607008,0.1794333276867624,0.1779906159661602,0.0228093579352347,0.0331645060357465,0.8594350795528027,-0.0011898243828016852,0.017552850687581945
I-0-8,0.1645150948693028,0.151722897883589,0.103862841988049,0.0202682567289003,0.0810736373781486,0.8573511100483164,0.005783272643075876,0.012145841670471058
I-0-9,0.177950484776768,0.1725087530345419,0.189667664395345,0.0276772952477066,0.0654148687130843,0.8573692401101994,-0.005336873280541443,0.01028867699224345
