,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.11721020837970653,0.10703041335767838,0.15666594265558031,0.16828704998212385,-0.07247106746393084,0.6589831363266083,-0.03328090006727891,0.021351054017805127
I-0-1,0.12743963961988636,0.11328714097570491,0.1406173295578036,0.14101956928534498,0.05035657028466989,0.6347979628029323,0.0007600546495674099,0.030035379113032223
I-0-2,0.1490389343605979,0.13740440817446675,0.060905542080681885,0.16235474807112982,0.06044070206446461,0.6024942286992091,0.012145880953365329,0.020405679972162805
I-0-3,0.1619444596891042,0.1466794646094879,0.0836662259744837,0.16989196690133423,0.05543303266152377,0.5540799614733842,0.00706661850384227,0.02213503186833099
I-0-4,0.13749264149373586,0.12735405893787366,0.08840729890087307,0.14487377930841006,0.022285374373609335,0.5821784928251974,-0.0022469094604702367,0.026415737514969617
I-0-5,0.15470672129256602,0.1404817526937464,0.01580582737270808,0.15367155440921332,0.032639765408709054,0.5599187371860248,0.004458650000558895,0.028521682635223145
I-0-6,0.14234627945967482,0.1278362282098081,0.14581210779028786,0.16324130186255725,0.047567884922103176,0.6377879107478766,0.009697936567921062,0.009017730362528398
I-0-7,0.15150669587580357,0.13584628322904735,0.07582774181517771,0.16319122970203503,0.05227210719959474,0.6026413059370739,0.0076009174690711,0.01847959257343823
I-0-8,0.11528836786790131,0.09577844923333045,0.06642537012296956,0.08268603353174353,0.05957858421121687,0.5987182100075857,0.0012805150442903868,0.01724503282655232
I-0-9,0.15842088833676615,0.14122318621584573,0.13432716028242475,0.1961852406225162,0.07444150192777887,0.6004011868402976,0.0009277184076644795,0.026444703198821418
