,RGB_phc,RGB_phh,RGB_ec,RGB_caco3,RGB_p,RGB_n,RGB_k,RGB_stones
I-0-0,0.13494327507620785,0.11987343946804752,0.046110752689503154,0.14858352397239016,0.06814250784962073,0.6039302185931511,0.0029704114842272755,0.02707855534199899
I-0-1,0.13873068587889192,0.1175669206301716,0.05588228612460444,0.1479578525366565,0.06576843758731632,0.6036709862208245,0.0052089972820924535,0.01497366853279225
I-0-2,0.13853149193324432,0.11719920602876988,0.05404475777968376,0.1372137509786061,0.06120533680043516,0.6004478405920044,0.005988645180711516,0.029015210034672778
I-0-3,0.13797096429023747,0.11951537810028323,0.05669690507571501,0.14787489237618212,0.06864846226882448,0.6104353315395243,0.005161951203395354,0.02388370702138598
I-0-4,0.1346372106385959,0.11977672638767722,0.05737738841544204,0.14691996694612597,0.06833098902693824,0.603924035010212,0.004529453149461182,0.032976176004082425
I-0-5,0.13281103762492452,0.11724506327698525,0.046014791756941675,0.14646536703452395,0.050888885715555165,0.5994732478129572,0.005995739901319963,0.028469884423048653
I-0-6,0.13831506478531952,0.11513794426483803,0.0521431649330536,0.14818594332880675,0.06718159461647344,0.6037638339020954,0.004316794982275773,0.02653772984608982
I-0-7,0.18045592911838093,0.11758704303148637,0.05747522896550172,0.1469498684329854,0.06257953841703634,0.5946532177145374,0.0059643042127072166,0.014628337774564737
I-0-8,0.13825170971761047,0.1092511546599979,0.045941190965822276,0.14831449220538884,0.06353142835102255,0.6028174896553126,-0.005153405810402578,0.02969819002346341
I-0-9,0.13736671800227873,0.11689580776174568,0.052659076042951614,0.14828413254686323,0.07310806177187545,0.6035430208021739,0.005409606437680847,0.029394289579698252
