,RGB_oc,RGB-elevation-lc1_oc,RGB-elevation-lu1_oc,RGB-elevation-lc1-lu1_oc,RGB-elevation-lc1_oc,RGB-elevation-lu1_oc,RGB-elevation-lc1-lu1_oc
I-0-0,0.645647974,0.755765416,0.727802454,0.7527734692945014,0.7651522892633162,0.7257171899472399,0.7214843539727006
I-0-1,0.625315779,0.747355981,0.728851497,0.7422599857160335,0.7730605754073939,0.7316460819066714,0.7252993949025178
I-0-2,0.640649645,0.73367342,0.724812411,0.7421168693529387,0.7868736230638806,0.7280915573097417,0.7173790148900927
I-0-3,0.616391179,0.751881298,0.72605216,0.7342016307401211,0.7741675523430414,0.732196416607487,0.7248188696969995
I-0-4,0.645158752,0.756527716,0.729043895,0.749678667403304,0.7699222863088565,0.7282204710966438,0.7208235455528269
I-0-5,0.623507749,0.733763203,0.720051908,0.738522370998981,0.7812252832690187,0.7177664375935897,0.7229966242249206
I-0-6,0.638285655,0.735093413,0.730427137,0.7467769534137769,0.7748336812092902,0.725414122089648,0.7184943129056709
I-0-7,0.646348908,0.730151021,0.726881986,0.7563297115136518,0.7854459710056837,0.7371832581861728,0.7217765698969016
I-0-8,0.66278169,0.73992566,0.7258605221892536,0.7495238152077515,0.7699392849705013,0.7301481882690273,0.7177267563228072
I-0-9,0.643920639,0.738773523,0.7206167503611759,0.7384369711981782,0.7717840401989657,0.7271518396349801,0.7215456767786927
