,RGB-phc_oc,RGB-phh_oc,RGB-ec_oc,RGB-caco3_oc,RGB-p_oc,RGB-n_oc,RGB-k_oc
I-0-0,0.572687492603029,0.5725763521574803,0.5773081619195878,0.572970058120283,0.5661132862531539,0.5684499348757609,0.5647840252187558
I-0-1,0.7104055281672769,0.7104070159289394,0.7074335661869954,0.7112430796365383,0.6954830185440452,0.7013493805772182,0.7075525153685029
I-0-2,0.5238719315650618,0.5237794524242276,0.5393788904635602,0.5253637298769691,0.5279822654044597,0.5204541913963101,0.519623931246213
I-0-3,0.6012577134501318,0.6011144789263528,0.5958457164131196,0.5996507551449908,0.589359989702149,0.5940073776997417,0.5889163473406573
I-0-4,0.6264789142392795,0.6265315639710985,0.6150585350338864,0.6271459762208669,0.6205047961933536,0.6185876685792775,0.6283888855520694
I-0-5,0.5802216214699321,0.580236333354074,0.5875353866202881,0.5817932853495602,0.5752798986902423,0.5770720989149832,0.5750641233988651
I-0-6,0.6640878008301525,0.6640476915773907,0.6655249480214944,0.661511313627812,0.6546952672554365,0.6564018345658117,0.6545062668689663
I-0-7,0.6330101941684396,0.6329884694061174,0.6394947989120947,0.6381382082515421,0.6374862809781427,0.6345460298649138,0.6408028698372896
I-0-8,0.5789785986389654,0.5794777675048672,0.5788619565046521,0.5816173138841101,0.5908968282991041,0.5883264955970219,0.5971014514652588
I-0-9,0.6425926883244943,0.6426252866519788,0.639252245009938,0.6426214920614124,0.6344294075959965,0.6352850175824575,0.6343473413498747
