,RGB_oc,RGB-lc1_oc,RGB-lu1_oc,RGB-lc1-lu1_oc,RGB-lc1_oc,RGB-lu1_oc,RGB-lc1-lu1_oc
I-0-0,0.627309776238457,0.6840931847562395,0.6371725256900387,0.7036184878124835,0.7586554014287774,0.7133171875039608,0.7496994485442877
I-0-1,0.6325792246488268,0.681270304789194,0.6403986312379764,0.7077686014145327,0.7568148353751497,0.7198283449843782,0.7472052929052833
I-0-2,0.6374945930578109,0.6817537801182914,0.6395370866210823,0.6998006082538151,0.7482088027880889,0.7163721160896664,0.7444706763920502
I-0-3,0.6437702964108403,0.6795774120280214,0.6389479581819067,0.7007780207102189,0.7615385632548872,0.7116208460791535,0.7464612983060693
I-0-4,0.6544586511893082,0.6836212161292432,0.6399166467710107,0.7010687080329494,0.7433112388459573,0.7116984408913289,0.7442018889501074
I-0-5,0.6780933467515944,0.6828908023530662,0.6391596513901194,0.6963534480697463,0.7454858571855759,0.7209769989559489,0.7521798943201752
I-0-6,0.6304772526168002,0.6801466745368084,0.6414436813303774,0.6986436352347691,0.7580660108831049,0.7181759331122819,0.7544745698610144
I-0-7,0.6423018001235248,0.6822107493339,0.6403864161774053,0.6995757696397567,0.7571595538301714,0.7077422841372539,0.7441734404372955
I-0-8,0.6434452787239514,0.6808148849866935,0.6386847017495056,0.7009642670076734,0.7527575329612325,0.7116501498687251,0.7527660946666082
I-0-9,0.6342032428965003,0.678667915997905,0.6387132577436802,0.7019776826640733,0.7371847874731847,0.7019581831208115,0.0
