,RGB_oc,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6395410242928157,0.6206477961727956,0.6439004539920359,0.6435284879522737,0.6190543952347202,0.6422073719422869,0.6387920423400577,0.6654800180812963,0.638843277749318
I-0-1,0.6380355599140143,0.6127748730938491,0.6358255670752164,0.6380084461647874,0.615170058578608,0.6393956596281317,0.641792134228766,0.6202048511412392,0.623725728434511
I-0-2,0.6503524593030539,0.6639534597382295,0.6180957970570418,0.6324048794937177,0.6212288998997173,0.6414573762036253,0.6396756043069373,0.6331380392715706,0.641980219676223
I-0-3,0.6490334514799369,0.6315806984928787,0.6396927852022916,0.6307235272362695,0.6715382354118414,0.6325308219141227,0.6356614694227896,0.6208861254468565,0.6481560502808563
I-0-4,0.6471290488858226,0.630246446184205,0.6413346307133437,0.6328309040197453,0.6210082501210019,0.6411091177522283,0.6396994964770348,0.6204142865807238,0.6204351725294727
I-0-5,0.6404776015579359,0.6417882172277662,0.6290055874535192,0.6431008623906607,0.6180309492582361,0.6175996559511258,0.6261138776297426,0.6219340991299089,0.617034932925808
I-0-6,0.6155243982860492,0.6385625389903957,0.6313412175938549,0.6290714821586997,0.6197884766093138,0.6325840819880704,0.6339172456280388,0.6296528351957522,0.6553555407305242
I-0-7,0.6359573640832674,0.6737116784283163,0.6187153531053171,0.6396813169570371,0.6170589824560171,0.635986111210993,0.6349161668202737,0.6349641593675748,0.644005137905467
I-0-8,0.6447699753554146,0.6207297345640891,0.6295939984055366,0.641389094516736,0.6081202096537033,0.6406666904524442,0.6358234098764486,0.6276835008748484,0.6316889920507738
I-0-9,0.6469423418781637,0.6403631966576856,0.62632699699539,0.6431628943281119,0.6195224251346552,0.6407827687136678,0.6360952489833527,0.6212803832824305,0.6462463896474961
