,clay_oc,clay_oc,RGB_oc
I-0-0,0.5048885528662606,-0.4731869295493971,0.5570601774848424
I-0-1,0.43307884336344227,-0.25754255991486774,0.49027140200776664
I-0-2,0.5364809125458934,-0.37480907927157503,0.42408846670844913
I-0-3,0.5508081026707167,-0.4310270309396147,0.5372392404656763
I-0-4,0.4654499905808016,-0.329221493736209,0.4747600954205434
I-0-5,0.5042985523110677,-0.4126251691486449,0.4582530882115219
I-0-6,0.522931870635422,-0.36033360647952795,0.5341429029806454
I-0-7,0.5546671317544052,-0.3777704522338756,0.5123756234799568
I-0-8,0.4673930544737601,-0.3045657640406496,0.49786744886202716
I-0-9,0.5020239349827763,-0.459680305219647,0.5292063818083863
